RA,Curso,P1,P2,P3,Part,MF
866,emec,1.7,0.3,0,0,0.6
867,emec,8.5,4.8,3,1,5.9
868,emec,6.5,0,0,0,2
869,emec,3.3,0,0,0,1
870,emec,6.3,1.8,4.3,1,4.7
871,emec,6.5,5.3,6.8,1,6.6
872,emec,5.8,3.8,4.5,1,5.2
874,emec,6,0,0,0,1.8
875,emec,8.3,5.8,7.5,1,7.5
877,emec,8.8,0.5,0,0,2.8
878,emec,6.8,1.5,7.5,1,5.7
882,emec,5.3,0.5,0,0,1.7
2997,emec,7,6.5,4.5,1,6.4
4375,emec,10,8.8,8.3,1,9.1
4632,emec,7.8,6,4.5,1,6.5
4720,emec,5.5,0,0,0,1.7
4837,emec,6.5,7,5,1,6.6
4930,ee,8,5,5.5,1,6.6
5462,efi,10,8.8,7,1,8.7
5683,emec,5.5,8,9,1,7.8
5942,emec,8.8,5.3,6.3,1,7.1
7250,emec,8,2,8.8,1,6.6
7528,emec,10,10,7.5,1,9.3
7651,efi,5.8,2.5,6,1,5.3
7828,emec,7,2,2.8,1,4.5
8433,efi,7,4.5,5.7,1,6.2
8913,efi,4,3.3,7,1,5.3
9138,emec,6.8,5.3,3.8,1,5.8
9586,emec,7.5,2,8.5,1,6.4
9587,emec,7.5,4,7,1,6.6
9590,emec,5.3,0.5,0,0,1.7
9591,emec,6,1,0,0,2.1
9592,emec,8.3,2.5,6.5,1,6.2
9593,emec,1.8,0,0,0,0.5
9595,emec,6.5,0,0,0,2
9596,emec,8.8,5.5,6.7,1,7.3
9597,emec,5.8,2.5,6.5,1,5.4
9599,emec,9,2,3.3,1,5.3
9600,emec,8.3,7.3,8,1,8.1
9601,emec,11,7,8.5,1,9
9602,emec,7.5,8,7.5,1,7.9
9603,emec,3.8,6.5,6,1,5.9
9604,emec,6,5.5,7.5,1,6.7
9608,emec,5,0,0,0,1.5
9609,emec,4.5,3.3,7.5,1,5.6
9611,emec,7,3.5,3,1,5.1
9613,emec,8.5,6.8,8.5,1,8.1
9616,emec,5.3,4.8,6.3,1,5.9
9617,emec,8.3,1.8,0,0,3
9624,emec,7.3,2.3,6.7,1,5.9
